"filename", "language", "JavaScript", "SCSS", "XML", "Markdown", "JSON", "JSON with Comments", "HTML", "Properties", "YAML", "comment", "blank", "total"
"e:\webdevelopment\dvki\client\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"e:\webdevelopment\dvki\client\frontend\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 11, 41
"e:\webdevelopment\dvki\client\frontend\.github\ISSUE_TEMPLATE\custom.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"e:\webdevelopment\dvki\client\frontend\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"e:\webdevelopment\dvki\client\frontend\.github\workflows\prod.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 7, 45
"e:\webdevelopment\dvki\client\frontend\.prettierrc", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"e:\webdevelopment\dvki\client\frontend\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\webdevelopment\dvki\client\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\webdevelopment\dvki\client\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 38346, 0, 0, 0, 0, 0, 1, 38347
"e:\webdevelopment\dvki\client\frontend\package.json", "JSON", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 91
"e:\webdevelopment\dvki\client\frontend\public\favicon.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"e:\webdevelopment\dvki\client\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 21, 5, 59
"e:\webdevelopment\dvki\client\frontend\src\App.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 33
"e:\webdevelopment\dvki\client\frontend\src\abis\Verification.json", "JSON", 0, 0, 0, 0, 3866, 0, 0, 0, 0, 0, 0, 3866
"e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-blue-card.svg", "XML", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-pattern-dark.svg", "XML", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-pattern.svg", "XML", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-purple-card.svg", "XML", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-signup-blue-card.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-signup-white-card.svg", "XML", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"e:\webdevelopment\dvki\client\frontend\src\assets\images\hero.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\webdevelopment\dvki\client\frontend\src\assets\images\icons\earning.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\webdevelopment\dvki\client\frontend\src\assets\images\icons\social-google.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\webdevelopment\dvki\client\frontend\src\assets\images\logo-dark.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\webdevelopment\dvki\client\frontend\src\assets\images\logo-white.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\webdevelopment\dvki\client\frontend\src\assets\images\logo.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\webdevelopment\dvki\client\frontend\src\assets\images\users\user-round.svg", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\webdevelopment\dvki\client\frontend\src\assets\scss\_themes-vars.module.scss", "SCSS", 0, 100, 0, 0, 0, 0, 0, 0, 0, 29, 29, 158
"e:\webdevelopment\dvki\client\frontend\src\assets\scss\style.scss", "SCSS", 0, 109, 0, 0, 0, 0, 0, 0, 0, 6, 14, 129
"e:\webdevelopment\dvki\client\frontend\src\config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"e:\webdevelopment\dvki\client\frontend\src\data\api.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"e:\webdevelopment\dvki\client\frontend\src\data\auth.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"e:\webdevelopment\dvki\client\frontend\src\hooks\useScriptRef.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\webdevelopment\dvki\client\frontend\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 32
"e:\webdevelopment\dvki\client\frontend\src\layout\Customization\index.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 219
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\NotificationSection\NotificationList.js", "JavaScript", 269, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 283
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\NotificationSection\index.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 222
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\ProfileSection\UpgradePlanCard.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 69
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\ProfileSection\index.js", "JavaScript", 249, 0, 0, 0, 0, 0, 0, 0, 0, 49, 16, 314
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\SearchSection\index.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 193
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\index.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 165
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\LogoSection\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\Authenticity\index.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 146
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuCard\index.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 127
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\NavCollapse\index.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 155
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\NavGroup\index.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 62
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\NavItem\index.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 115
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 28
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\index.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 91
"e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\index.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 111
"e:\webdevelopment\dvki\client\frontend\src\layout\MinimalLayout\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
"e:\webdevelopment\dvki\client\frontend\src\layout\NavMotion.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 40
"e:\webdevelopment\dvki\client\frontend\src\layout\NavigationScroll.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 27
"e:\webdevelopment\dvki\client\frontend\src\menu-items\dashboard.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 34
"e:\webdevelopment\dvki\client\frontend\src\menu-items\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"e:\webdevelopment\dvki\client\frontend\src\menu-items\other.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 34
"e:\webdevelopment\dvki\client\frontend\src\menu-items\pages.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 43
"e:\webdevelopment\dvki\client\frontend\src\menu-items\utilities.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 69
"e:\webdevelopment\dvki\client\frontend\src\routes\AuthenticationRoutes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
"e:\webdevelopment\dvki\client\frontend\src\routes\MainRoutes.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 98
"e:\webdevelopment\dvki\client\frontend\src\routes\ProtectedRoute.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\webdevelopment\dvki\client\frontend\src\routes\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 12
"e:\webdevelopment\dvki\client\frontend\src\serviceWorker.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 133
"e:\webdevelopment\dvki\client\frontend\src\store\actions.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"e:\webdevelopment\dvki\client\frontend\src\store\constant.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"e:\webdevelopment\dvki\client\frontend\src\store\customizationReducer.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 47
"e:\webdevelopment\dvki\client\frontend\src\store\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"e:\webdevelopment\dvki\client\frontend\src\store\reducer.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 13
"e:\webdevelopment\dvki\client\frontend\src\themes\compStyleOverride.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 188
"e:\webdevelopment\dvki\client\frontend\src\themes\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 56
"e:\webdevelopment\dvki\client\frontend\src\themes\palette.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 74
"e:\webdevelopment\dvki\client\frontend\src\themes\typography.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 134
"e:\webdevelopment\dvki\client\frontend\src\ui-component\Loadable.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
"e:\webdevelopment\dvki\client\frontend\src\ui-component\Loader.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"e:\webdevelopment\dvki\client\frontend\src\ui-component\Logo.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 37
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\AuthFooter.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 18
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\CardSecondaryAction.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 59
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\MainCard.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 87
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\EarningCard.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 33
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\ImagePlaceholder.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 9
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\PopularCard.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 156
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\ProductPlaceholder.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 45
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\TotalGrowthBarChart.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 40
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\TotalIncomeCard.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\SubCard.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 67
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\AnimateButton.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 98
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Avatar.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 73
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Breadcrumbs.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 188
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Transitions.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 108
"e:\webdevelopment\dvki\client\frontend\src\utils\password-strength.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 35
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\ApplCard.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 185
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\ApplCardLong.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 176
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 56
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\BajajAreaChartCard.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 64
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\EarningCard.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 188
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\PopularCard.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 310
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalGrowthBarChart.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 141
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalIncomeDarkCard.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 100
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalIncomeLightCard.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 100
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalOrderLineChartCard.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 178
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\admissions\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 60
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\bajaj-area-chart.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 43
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-growth-bar-chart.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-order-month-line-chart.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 53
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-order-year-line-chart.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 53
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\requests\ApplCard.js", "JavaScript", 369, 0, 0, 0, 0, 0, 0, 0, 0, 33, 17, 419
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\requests\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 83
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\AuthCardWrapper.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\AuthWrapper1.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 12
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\auth-forms\AuthLogin.js", "JavaScript", 244, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 266
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\auth-forms\AuthRegister.js", "JavaScript", 312, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 340
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\authentication3\Login3.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\authentication3\Register3.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\CertificatesWrapper.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\request\index.js", "JavaScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 274
"e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\verify\index.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 95
"e:\webdevelopment\dvki\client\frontend\src\views\sample-page\hero.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 82
"e:\webdevelopment\dvki\client\frontend\src\views\sample-page\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 19
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\Color.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 228
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\MaterialIcons.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 26
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\Shadow.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 126
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\TablerIcons.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 29
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\Typography.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 127
"Total", "-", 7624, 209, 334, 53, 42310, 9, 33, 12, 35, 614, 834, 52067